USR;TWEET;LANG;DATE;CLAS
CaraWainwright7;For much of the world, #FakeNews is less of a problem than fake food. One startup is using the technology behind bi… https://t.co/XIWhYtFA0g;en;2018-02-17 12:59:00;NEUTRO
peter_baylon;"RT @Cryptoshawk: 1 #bitcoin #btc giveaway! 

first 500 people to retweet and follow wins .002 BTC

Let’s make this one fun, tweet me your w…";en;2018-02-17 12:59:01;NEUTRO
k9x9_;RT @CryptoCoinsNews: Cryptocurrency Market Recovers to $500 Billion as Bitcoin, Ethereum Record Gains https://t.co/snQvBspgYT;en;2018-02-17 12:59:01;NEUTRO
Crypto_Soup;RT @IamNomad: No new tethers. Why is bitcoin going up ?;en;2018-02-17 12:59:02;NEUTRO
LoveDanner2;RT @CryptooSID: #Falconcoin #STAKING starts in 72hrs , Once STAKING starts the first 48hrs will have a #double #interest promotion. so JOIN…;en;2018-02-17 12:59:02;NEUTRO
FlossieList3;RT @applancer_crypt: Model with Bitcoin-themed Shirt catwalks in the New York Fashion Week https://t.co/F7A2HNE0Ej  #Bitcoin #Fashion  #inv…;en;2018-02-17 12:59:02;NEUTRO
MrFoskaay;FlashBack: #MyCDApp:  Crypto Markets Continue Experiencing Slight Growth, Bitcoin Passes $10k… https://t.co/AOwrqiynf8;en;2018-02-17 12:59:03;NEUTRO
tomothyjones;RT @CoinText: CoinText Chooses #BitcoinCash As Payment Of Choice https://t.co/BjlF2r3dOT;en;2018-02-17 12:59:03;NEUTRO
SocialMediaVila;FlashBack: #MyCDApp:  Crypto Markets Continue Experiencing Slight Growth, Bitcoin Passes $10k… https://t.co/0zrAWbctK6;en;2018-02-17 12:59:03;NEUTRO
SALEM_WORD;Lol I just received a call now from one of our members who misunderstood my tweet. What I meant was the following:… https://t.co/OJIt07bxMy;en;2018-02-17 12:59:03;NEUTRO
TravelInfoVilla;FlashBack: #MyCDApp:  Crypto Markets Continue Experiencing Slight Growth, Bitcoin Passes $10k… https://t.co/v2Hzky4XKn;en;2018-02-17 12:59:03;NEUTRO
dorisclark241;RT @applancer_crypt: #Blockchain #BankofAmerica #Bitcoin #CryptoPatents https://t.co/vT1wyUPgtS Bank Of America In Lead Of Filing Crypto-Pa…;en;2018-02-17 12:59:03;NEUTRO
oskaaay;FlashBack: #MyCDApp:  Crypto Markets Continue Experiencing Slight Growth, Bitcoin Passes $10k… https://t.co/D2XG2A2Qff;en;2018-02-17 12:59:03;NEUTRO
rhetoricalposit;"RT @BitraceToken: 🔥BITRACE Pre-ICO LIVE NOW !!🔥
BUY BITRACE TOKEN &amp; GET 25 % BONUS 🤑:
https://t.co/EiGMzZAZ6v

#bitrace #bitcoin #cryptocur…";en;2018-02-17 12:59:04;NEUTRO
burritospraline;"RT @PlayBetsTwitt: Our Announcement of payment integration!
#blockchain #Ethereum #Bitcoin #PlayBets #Payment #Platform

https://t.co/uLEXX…";en;2018-02-17 12:59:04;NEUTRO
aleeksey7bzr;Top 3 cryptocurrencies price prediction for Bitcoin, Ripple and Ethereum: XRP bullish, ETH losing advantage vs BTC https://t.co/dl3JoDPATR;en;2018-02-17 12:59:04;NEUTRO
LitecoinPR;"The #price of #Bitcoin today above of $11,000.00USD on the markets of #SouthKorea &amp; surpass the  $10,500.00USD in t… https://t.co/U39bGewUAU";en;2018-02-17 12:59:04;NEUTRO
legnorose;"RT @Grain_io: #Grain Webinar #2: Project updates, transparency and tech Q&amp;A - https://t.co/o15fnsACD2 #blockchain #fintech #ethereum #bitco…";en;2018-02-17 12:59:05;NEUTRO
